term_id,item_id,query,title,category,brand,label,first_stage_score,final_ranking_score,rank_before,rank_after
TERM_208401be,ITEM_15d37e68c28d,mudo hırka,erkek çocuk fermuarlı kapüşonlu basic fıstık yeşili sweatshirt 50293472-vr087,giyim/üst giyim/kazak & hırka/hırka,mango woman,0,0.18955204743510284,-1.6983587,5,6
TERM_208401be,ITEM_00629d93c995,mudo hırka,fitted fermuarli bisiklet yaka hirka,giyim/dış giyim/ceket & yelek/yelek,mudo,0,0.3858298139907053,0.2157227,4,4
TERM_27f1d71c,ITEM_fc43cea223a9,cam filmi,oto yan ayna yağmur cam film 2 adet buğu önleyici 2li su tutmaz filim,otomobil & motosiklet/otomobil/kış ürünleri/yağmur kaydırıcı,noyiska,1,0.4297012546493454,0.84538335,19,11
TERM_27f1d71c,ITEM_1c11a86e37d2,cam filmi,bambu üçlü sepet mutfak çeyizlik 3 boy kaliteli 3 parça ekmek sepeti meyve sofra aksesauarı,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/ekmek kutusu ve sepeti,utelips,0,0.1134704491319938,-1.8265774,39,30
TERM_27f1d71c,ITEM_3219ca57b3d6,cam filmi,araç içi klima izgara hava çıkış dekoratif şeritler klima şerit krom gri,otomobil & motosiklet/otomobil/araç içi aksesuarı/oto küllük,meyzone,0,0.16158207811192635,-2.2526283,22,51
TERM_27f1d71c,ITEM_2dcb4132a2b8,cam filmi,antrasit gri buzdolabı beyaz eşya zemin dolap fayans kaplama kendinden yapışkanlı folyo (200x120cm),ev & mobilya/ev/ev dekorasyon/yapışkanlı folyo,dekoros,0,0.09822871803150822,-1.8501229,41,35
TERM_27f1d71c,ITEM_94aca68f4aaf,cam filmi,offroad sis lambası 4 led 12-32v 40w -set beyaz,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto lambası,space,0,0.15541403902811438,-2.051607,26,45
TERM_27f1d71c,ITEM_9d1291e4c09a,cam filmi,satsumas bambu ayaklı katlı beyaz çiçeklik 70 cm,ev & mobilya/ev/sofra & mutfak/sofra/runner & amerikan servisi,karaca home,0,0.0811895880500683,-1.4418215,45,21
TERM_27f1d71c,ITEM_8832d9ed0c89,cam filmi,rada anatomik taban islak zemin erkek terlik,ayakkabı/sandalet ve terlik/terlik,muya,0,0.1171425136909397,-1.9628072,35,43
TERM_27f1d71c,ITEM_3f634eace3d8,cam filmi,yekta ingiliz 3 kişilik bahçe salıncağı balkon salıncak panama kumaş,ev & mobilya/mobilya/bahçe mobilyaları/salıncak & hamak,yekta home,0,0.05393251384698556,-2.289853,52,53
TERM_27f1d71c,ITEM_930577d30acd,cam filmi,karbon fiber folyo hava kanallı araç döşeme kaplama folyosu gri 30 cm x 1 metre,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,meyzone,1,0.51395520193669,-0.2754528,18,19
TERM_27f1d71c,ITEM_792954c4dc96,cam filmi,kiz çocuk abiye kiz çocuk elbise kiz çocuk elbise karpuz kol karolin incili bal,giyim/abiye & mezuniyet elbisesi,meta moda,0,0.16076690125796775,-1.8705044,23,37
TERM_27f1d71c,ITEM_febaf3ea8e61,cam filmi,60 cm x 2 metre buzlu statik kumlama cam folyo ev ofis duşakabin desenli cam filmi f10,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,örtücüm,1,0.9567990864597654,1.7520999,8,7
TERM_27f1d71c,ITEM_3ce99c54f07a,cam filmi,3 kapaklı konsol tv ünitesi dresuar çok amaçlı konsol kahve köşesi çam,ev & mobilya/mobilya/antre & hol/dresuar,bofigo,0,0.1604975693365448,-1.9192879,24,41
TERM_27f1d71c,ITEM_87792ae7318d,cam filmi,çizilmez amerikan aynalı cam filmi - koyu ton - 75 cm x 6m,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,flash,0,0.9515804282302865,1.7982699,11,6
TERM_27f1d71c,ITEM_ff713bee8c6e,cam filmi,50cmx3mt gold aynali cam filmi çizilmez amerikan altın sarı aynalı,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,schumi,0,0.976747286343578,0.68042314,4,13
TERM_27f1d71c,ITEM_678f08760cb2,cam filmi,çizilmez amerikan bronz aynalı açık ton 61x600cm,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,osman pazarlama,1,0.6871823751094421,0.29090026,16,18
TERM_27f1d71c,ITEM_a0f5d5f09ebe,cam filmi,"ateş kehribar tesbih kazaziye gümüş püskül , kişiye özel ahşap kutu sıkma kehribar tesbih",aksesuar/diğer aksesuar/tesbih,zikir tesbih,0,0.11361139456908978,-1.8265774,38,31
TERM_27f1d71c,ITEM_0b9d42d5e66e,cam filmi,"® aynalı cam filmi (90 cm x 3 mt) isı yalıtımlı, ev, balkon, ofis için uygun",otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,black master,1,0.9779165066616524,0.59076613,3,15
TERM_27f1d71c,ITEM_e767e8c4b003,cam filmi,deniz sound garage 25 cm subwoofer dd-610f 2+2 ohm 3000 watt 1000 rms..,otomobil & motosiklet/oto ses görüntü sistemleri/oto hoparlör,dd audio,0,0.07060022778224358,-1.6164116,47,25
TERM_27f1d71c,ITEM_ff075737585e,cam filmi,aynalı cam filmi silver 50 cm-2 metre,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,autofolyo,1,0.9439518668003539,1.749488,14,8
TERM_27f1d71c,ITEM_1f172f0f7436,cam filmi,çubuklu oda kokusu 200ml – amber,elektronik/elektronik aksesuarlar/bilgisayar aksesuarları/çevre birimleri/mousepad,evdemo,0,0.03455642477498339,-2.5065706,56,57
TERM_27f1d71c,ITEM_3f76b7fd0db5,cam filmi,% 05 siyah koyu ton cam filmi (75cm x 3m),otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,ossofol,0,0.974793608672727,1.5570709,6,9
TERM_27f1d71c,ITEM_f2a7fce0d382,cam filmi,60cmx100cm buzlu desenli cam kaplama filmi statik duşa kabin ofis dekorasyon folyo,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,technosmart,1,0.8455467330412638,0.78827816,15,12
TERM_27f1d71c,ITEM_433774bb42e7,cam filmi,"df02102 puflu makyaj masası , bölmeli çekmeceli oturaklı organizer kozmetik masası yatak odası",ev & mobilya/mobilya/yatak odası/makyaj masası & tuvalet masası,dekor fim,0,0.09543242802683381,-1.8273025,43,32
TERM_27f1d71c,ITEM_8cd459bd1a81,cam filmi,american aynalı cam filmi a kalite 61 cm x 3 metre koyu ton,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,osman pazarlama,1,0.9788471226561626,0.59076613,2,16
TERM_27f1d71c,ITEM_df868bdf9b5b,cam filmi,cesse home makrome perde,ev & mobilya/ev/sofra & mutfak/mutfak saklama ve düzenleme/kahvaltılık,vialex,0,0.11389228637807791,-1.4549738,37,22
TERM_27f1d71c,ITEM_e3e182da3c24,cam filmi,twill ipek eşarp 11451-14,giyim/tesettür giyim/eşarp,silk home,0,0.0757943130336399,-1.9181949,46,39
TERM_27f1d71c,ITEM_0e9118f0efe7,cam filmi,"pelin tekli siyah krom 3 renkli 40 watt ledli modern oturma odası, koridor, salon led avize",ev & mobilya/mobilya/elektrik & aydınlatma/avize,apliqa,0,0.14903331487090357,-2.2239351,27,50
TERM_27f1d71c,ITEM_ae109da5f9cb,cam filmi,aynalı cam filmi amerikan çizilmez 60 cm x 6 metre,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,newvario,1,0.9494806386038234,1.8421189,13,2
TERM_27f1d71c,ITEM_88e32cd153bd,cam filmi,"aynalı cam filmi (60 cm x 10 metre) isı yalıtımlı, ev, balkon, ofis için uygundur",otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,black master,1,0.9761457960348854,0.59076613,5,17
TERM_27f1d71c,ITEM_23f3908af53e,cam filmi,/ rio balerion terletmez kadife kumaş beyaz gaming oyuncu koltuğu / 120 kg taşır,ev & mobilya/mobilya/ofis mobilyaları/oyuncu koltuğu,xmax,0,0.09766480433975655,-1.8273025,42,33
TERM_27f1d71c,ITEM_0f1a96993074,cam filmi,kapı süsü kişiye özel isimli dekoratif gold pleksi dış kapı süsü duvar süsü,ev & mobilya/ev/ev dekorasyon/kapı süsü,evsay,0,0.030802670122891285,-2.637071,57,58
TERM_27f1d71c,ITEM_3bb620ff4b12,cam filmi,unisex beyaz 4 kat müslin sabahlık / bornoz /kimono,ev & mobilya/ev/banyo/banyo tekstili/bornoz,lucy and home,0,0.08493627951868195,-1.8589672,44,36
TERM_27f1d71c,ITEM_d4edd0fe5405,cam filmi,"xz272pbmiiphx 27"" 165hz (hdmı+display) freesync full hd curved monitör",ev & mobilya/ev/sofra & mutfak/sofra/çatal & bıçak & kaşık,evmo home,0,0.13506217481294935,-2.061092,30,46
TERM_27f1d71c,ITEM_bf3caeffdfaf,cam filmi,ev-ofis-araç cam filmi koyu ton 75 cm x 3 m,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,osman pazarlama,0,0.9567734026039938,1.8193866,9,4
TERM_27f1d71c,ITEM_9c36fb7ca3e2,cam filmi,mina sarkit siyah arti desen / beyaz finlin (38-30cm),ev & mobilya/mobilya/elektrik & aydınlatma/avize,manogrup avize aydınlatma,0,0.11674843990542855,-2.3982077,36,56
TERM_27f1d71c,ITEM_ace98a7768c3,cam filmi,ipad 11. nesil a16 11inç/10.nesil 10.9inç 2025 uyumlu kılıf dönebilen standlı pu deri koruyucu,elektronik/elektronik aksesuarlar/tablet aksesuarları/tablet kılıfı,teknetstore,0,0.06383924019060906,-2.1826227,49,49
TERM_27f1d71c,ITEM_748d5ad5dc7d,cam filmi,ev-ofis-araç cam filmi koyu ton 75 cm x 3 m,otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,autofolyo,1,0.9567734026039938,1.8193866,10,5
TERM_27f1d71c,ITEM_bad2ec0b3c26,cam filmi,"newasan josefin koltuk, josephine, dinlenme koltuğu ,bordo  renk chaise lounge, ahşap ayak",ev & mobilya/mobilya/salon & oturma odası/kanepe & koltuklar/tv koltuğu,dewasan,0,0.03703593631650337,-2.256903,55,52
TERM_27f1d71c,ITEM_9881de3c73f7,cam filmi,kız tecno terlik,ayakkabı/sandalet ve terlik/deniz ayakkabısı,superfit,0,0.058968738136251024,-1.9176534,51,38
TERM_27f1d71c,ITEM_cfebd214557e,cam filmi,karıştır pişir sakla 18 parça servis gereçli çelik tencere seti,ev & mobilya/ev/sofra & mutfak/pişirme/tencere,karaca,0,0.14507047226162342,-1.6512278,29,26
TERM_27f1d71c,ITEM_07fedc916631,cam filmi,bahce balkon teras dinlenme köşe takımı,spor & outdoor/ekipman & aksesuar/kamp/kamp mutfak ürünleri/termos,kznmob home,0,0.06939177213519704,-1.6799619,48,27
TERM_27f1d71c,ITEM_d55f45cdeeaa,cam filmi,cam kumlama folyosu buzlu cam filmi 75 cm x 5 metre,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,timella,1,0.9626145428070038,1.9002055,7,1
TERM_27f1d71c,ITEM_35e0673460ce,cam filmi,% 05 siyah koyu ton cam filmi (50cm x 3m),otomobil & motosiklet/otomobil/modifiye ürünleri/oto cam filmi,dark plus,1,0.9819053063621254,0.6576909,1,14
TERM_27f1d71c,ITEM_a9d7b53fef54,cam filmi,altın festival boncuk şeker 50gr yumuşak yenilebilir,süpermarket/gıda & içecek/kuru gıda/tatlı yapım malzemesi/pasta süsü,hediyehobihersey,0,0.06225801960316083,-1.3719206,50,20
TERM_27f1d71c,ITEM_8d71c8153cb9,cam filmi,desenli pamuk soft şal soon serisi lacivert mavi ps154,giyim/tesettür giyim/tesettür şal,mira ipek,0,0.12207213987503616,-2.3067393,32,55
TERM_27f1d71c,ITEM_9346e5e8867d,cam filmi,havalı balonlu naylon pat pat 150cm*20mt,banyo yapı & hırdavat/hırdavat/kutu ve ambalaj malzemesi,hamidiye ambalaj,0,0.023525212065217377,-2.0736213,58,47
TERM_27f1d71c,ITEM_c36d031fa48b,cam filmi,green tea 250 ml lıme 250 ml,kozmetik & kişisel bakım/parfüm ve deodorant/kolonya,rebul,0,0.03990780090327149,-2.106571,54,48
TERM_27f1d71c,ITEM_50f184bff772,cam filmi,kapadokya gri kaymaz taban oda koridor mutfak halı,ev & mobilya/mobilya/halı / kilim/halı,melian,0,0.14806789977590748,-1.834495,28,34
TERM_27f1d71c,ITEM_dd5235d277d9,cam filmi,cam filmi kaplama statik folyo buzlu desenli duşa kabin pencere ofis dekorasyon,ev & mobilya/ev/ev dekorasyon/yapışkanlı folyo,başak ev tekstili,1,0.5403545827737163,0.9741119,17,10
TERM_27f1d71c,ITEM_92b0565cdc07,cam filmi,346.p23y.168 mask çocuk spor ayakkabı turuncu,ayakkabı/spor ayakkabı/sneaker,vicco,0,0.19517762056447582,-1.516035,20,24
TERM_27f1d71c,ITEM_cce6789f10a3,cam filmi,cam filmi çizilmez amerikan açık ton 100 cm x 3 metre,banyo yapı & hırdavat/elektrik tesisat malzemesi/güvenlik ürünleri/güvenlik cam filmi,autofolyo,1,0.9507849385714916,1.8421189,12,3
TERM_27f1d71c,ITEM_69b25361fdfe,cam filmi,10002511211018 scl günlük tunik,giyim/üst giyim/bluz & tunik/tunik,scl,0,0.10054666386137698,-1.4555,40,23
TERM_27f1d71c,ITEM_5e7f36f0c97d,cam filmi,isısız saç şekillendirme seti siyah saten saç sosisi saç bigudisi seti saç şekillendirici,aksesuar/saç aksesuarı/diğer saç aksesuarları,deko dekor,0,0.044070927050656766,-2.289853,53,54
TERM_27f1d71c,ITEM_d8da6b0ad397,cam filmi,25y4041 hennin elbise açik abiye straplez kalem inci detayli yağ yeşili,giyim/abiye & mezuniyet elbisesi,hennin,0,0.13265786081353326,-1.9593265,31,42
TERM_27f1d71c,ITEM_630c13012eb3,cam filmi,carlota kadın içi polarlı organik kumaşlı metal fermuarlı kapüşonlu yumuşacık siyah sweatshirt,giyim/üst giyim/sweatshirt,grimelange,0,0.1585651365651444,-1.9188555,25,40
TERM_27f1d71c,ITEM_8ccc854fccca,cam filmi,"kadın taba kalın topuklu süet hakiki deri maskülen loafer, kışlık ayakkabı 25afd510610",ayakkabı/günlük ayakkabı/loafer ayakkabı,derimod,0,0.12111000350126219,-2.0178828,33,44
TERM_27f1d71c,ITEM_3c2a4b6c8e51,cam filmi,gtj tourer açık kask gl 727,otomobil & motosiklet/motosiklet/motosiklet koruma ekipmanları/motosiklet kaskı,smk,0,0.11891204463155707,-1.7459576,34,28
TERM_27f1d71c,ITEM_af0ca0a6e914,cam filmi,geometrik desenli çift kişilik nevresim takımı çift taraflı kullanım çarşafı düz gri,ev & mobilya/ev/ev tekstili/yatak odası tekstili/nevresim takımı/çift kişilik nevresim,sares home,0,0.16580764888379246,-1.8066267,21,29
TERM_28a19a48,ITEM_e441e3eb9c19,photon led,oversize kapüşonlu işlemeli ekru kız çocuk sweatshirt d2885a8/er233,giyim/üst giyim/sweatshirt,defacto,0,0.17667893490643496,-1.7774119,12,21
TERM_28a19a48,ITEM_0de6fb00ef56,photon led,ultimate h7 led headlıght 9500 lumens 5 plus,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.29931115213140497,-0.09945486,8,10
TERM_28a19a48,ITEM_39ebd7064347,photon led,tutto granite izgara ve tost makinesi 4 dilim kapasiteli 1800w siyah - ar2045-s,elektronik/elektrikli ev aletleri/yiyecek & içecek hazırlama/yiyecek hazırlama/tost makinesi,arzum,0,0.07919591593644941,-2.1826227,30,31
TERM_28a19a48,ITEM_8b7937cc24b1,photon led,"4w,ml amott vest 4pr erkek yelek a101911622 sıyah",giyim/dış giyim/ceket & yelek/yelek,lumberjack,0,0.08499547735831951,-1.5575416,29,18
TERM_28a19a48,ITEM_4f73bb75ff16,photon led,mini h4 16000 lumens 12-24v compact led,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.29796728584268484,-0.18402773,9,11
TERM_28a19a48,ITEM_eb3236a50aa4,photon led,hb3 mini,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul seti,femex,0,0.11646709375487185,-1.5197517,24,16
TERM_28a19a48,ITEM_ca1447e600c8,photon led,çoraplı futbol krampon halısaha ayakkabısı,ayakkabı/spor ayakkabı/krampon,by soccers,0,0.26161633967597303,-1.5258118,10,17
TERM_28a19a48,ITEM_8234892029fa,photon led,t10 w5w 12v amber 12 led aspırıng  uyumlu  serıe (2 li blister),otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul seti,photon,1,0.8191084895867926,0.6788692,1,5
TERM_28a19a48,ITEM_75c3ac6c63ef,photon led,tikky rd 0.7+min silgi hediyeli limon yeşili,kırtasiye & ofis malzemeleri/kalem/versatil kalem,rotring,0,0.034300144420004515,-2.6054046,35,37
TERM_28a19a48,ITEM_96eff5fcb88d,photon led,led ph7010na b9 blister 9 adet amber turuncu led,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto far,photon,0,0.3371194096623607,0.0050901384,5,8
TERM_28a19a48,ITEM_620ad5f60704,photon led,"gümüş 3'lü şamdan bar mumu parlak mum metalik kaplama gövde 1. kalite 3,5 cm x 8 cm",otomobil & motosiklet/oto ses görüntü sistemleri/multimedya & görüntü sistemi,gp kompozit,0,0.01836838669844428,-2.256903,36,32
TERM_28a19a48,ITEM_71c4d40656f9,photon led,ispanyol kol beli dolamalı saten tesettür abiye beyaz583163,giyim/tesettür giyim/tesettür abiye,suedcollection,0,0.06312430264599865,-1.9235885,31,25
TERM_28a19a48,ITEM_56089d1edb1e,photon led,yumuşak doku nefes alan kumaş kıvrılmaz yaka t-shirt polo yaka tişört renkli,giyim/üst giyim/polo yaka t-shirt,puma,0,0.09743698847981132,-1.755752,28,20
TERM_28a19a48,ITEM_a150e2b72b1a,photon led,led ph7010na b9 blister 9 adet amber turuncu led,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.37566278896470306,0.0050901384,3,9
TERM_28a19a48,ITEM_cd3e211e3d7c,photon led,mums6zs00 1600 w 5.5 lt mutfak şefi,ev & mobilya/mobilya/bahçe mobilyaları/salıncak & hamak,rising,0,0.04764438596183243,-2.292934,33,33
TERM_28a19a48,ITEM_c99b5612a3a9,photon led,shiny black el mikseri,elektronik/elektrikli ev aletleri/yiyecek & içecek hazırlama/yiyecek hazırlama/mikser & mikser seti,karaca,0,0.010838805936450712,-2.0034952,38,28
TERM_28a19a48,ITEM_903787396acc,photon led,(2 bezli) mikrofiber kendinden sıkmalı mop,süpermarket/ev bakım ve temizlik/ev ve temizlik gereçleri/temizlik gereçleri/paspas ve mop,berrak temizlik pazarı,0,0.05627421916488098,-1.3799369,32,15
TERM_28a19a48,ITEM_e701741d91df,photon led,kadın lacivert büyük beden baggy bol kesim pantolon alti esnek rahat kumaş eşofman altı şah modahjn,giyim/alt giyim/eşofman/eşofman altı,caonnes,0,0.12000588168099745,-2.2940578,23,34
TERM_28a19a48,ITEM_cc31bd12899f,photon led,h11 xtreme yellow 3000k sarı far ampulü,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto far,photon,1,0.11000481061615702,-1.004806,26,14
TERM_28a19a48,ITEM_5972aa88dd54,photon led,unisex gri bato yaka tam fermuarlı 3 cepli outdoor polar ceket,giyim/üst giyim/softshell & polar,vega port,0,0.12052765506816397,-1.9964802,21,27
TERM_28a19a48,ITEM_f2787255a14a,photon led,h7 12v 55w xtreme vısıon set (%150 fazla işik) ph5507 xv,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,0,0.1550181512613615,0.36238217,14,6
TERM_28a19a48,ITEM_66fa271e937f,photon led,deep kalem grıp silgi yedekli set 07mm kiremit,kırtasiye & ofis malzemeleri/kalem/prestij & dolma kalem,serve,0,0.14105866498846803,-2.397234,18,35
TERM_28a19a48,ITEM_8569255aaffd,photon led,pc-30168 lacivert esnek fileli kadın spor ayakkabı,ayakkabı/spor ayakkabı/yürüyüş ayakkabısı,pierre cardin,0,0.111474469261922,-1.674105,25,19
TERM_28a19a48,ITEM_f3e10ec8dd52,photon led,sinyal ampülü py21w turuncu amber 93 ampül şaş tırnak ikili paket,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.14677307443871673,0.760086,15,3
TERM_28a19a48,ITEM_287262a202de,photon led,sürgülü gardırop 140/210cm (koton vizon),ev & mobilya/mobilya/yatak odası/dolap ve gardırop,yılwood,0,0.1270356001897582,-1.7788709,20,22
TERM_28a19a48,ITEM_19e51bfe2043,photon led,kareli flanel gömlek ceket,giyim/dış giyim/ceket & yelek/ceket,mango man,0,0.10972066593018732,-1.7844619,27,23
TERM_28a19a48,ITEM_9513fa3ebeaa,photon led,duo serisi led headlight beyaz 12v led xenon h8-h11-h16,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,0,0.36912025916385494,0.15739872,4,7
TERM_28a19a48,ITEM_f6d6fe80bea9,photon led,3’lü zigon sehpa metal zigon sehpa c sehpa servis sehpası,ev & mobilya/mobilya/salon & oturma odası/sehpa/zigon,toliahome,0,0.12028528116435341,-2.0761995,22,30
TERM_28a19a48,ITEM_3e63e7991102,photon led,"hsspointteq hex metal matkap ucu set 6""lı (346)",bahçe & elektrikli el aletleri/elektrikli el aletleri/elektrikli el aleti aksesuar/matkap ucu,bosch,0,0.0417628082446778,-2.6144865,34,38
TERM_28a19a48,ITEM_d299c04536bd,photon led,sinyal ampülü py21w turuncu amber 93 ampül şaş tırnak ikili paket,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,0,0.14677307443871673,0.760086,16,4
TERM_28a19a48,ITEM_805ed4ab89ae,photon led,milestone h7 30000 lumens black katana edition,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.13435197957944747,-0.59423625,19,13
TERM_28a19a48,ITEM_0e15c70c25f3,photon led,c10w 12v 30mm can-bus sofit led ph7011 sofit tipi tüm araçlara,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/silecek kolu,photon,1,0.817338272725076,1.007027,2,2
TERM_28a19a48,ITEM_8463c5d560af,photon led,ocak yağ koruyucu alüminyum folyo yanma ve leke önleyici katlanır yıkanabilir folyo,banyo yapı & hırdavat/hırdavat/iş güvenlik ürünleri/iş güvenlik seti,mell and more,0,0.16954127540839736,-1.9326569,13,26
TERM_28a19a48,ITEM_b6deaf949871,photon led,2023 en yeni seri h7 duo led xenon şimşek etkili beyaz zenon h1,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.32558372268939595,1.0962962,7,1
TERM_28a19a48,ITEM_2ff284740efe,photon led,duo h7 12v-24v led headlıght,otomobil & motosiklet/otomobil yedek parça/elektrik aksam/oto ampul,photon,1,0.32732378179633287,-0.20298436,6,12
TERM_28a19a48,ITEM_85d61423c21d,photon led,güçlü ve parlak saç bakım kremi 200ml,ev & mobilya/ev/ev gereçleri/pratik temizlik gereci,steelseries,0,0.1446596095216536,-2.0093954,17,29
TERM_28a19a48,ITEM_2213c0319554,photon led,malaga köşe takımı (gri),ev & mobilya/mobilya/salon & oturma odası/kanepe & koltuklar/köşe takımı,tutku yatak,0,0.017814853746679783,-2.4561098,37,36
TERM_28a19a48,ITEM_07aaccf12985,photon led,tempo 2 erkek siyah (40-45) krampon futbol ayakkabı,ayakkabı/spor ayakkabı/krampon,lescon,0,0.2233450748948751,-1.7923161,11,24
TERM_29254769,ITEM_110820b10a01,fiesta erkek saat,fs601141 silikon kordonlu erkek kol saati,aksesuar/saat,fiesta,0,0.7739728996917394,0.7168408,8,8
TERM_29254769,ITEM_aee33c0d30e8,fiesta erkek saat,"üçlü etki 30 efervesan tablet i 1000 mg c vitamini, d vitamini ve çinko içeren takviye edici",süpermarket/sağlık/gıda takviyesi ve vitamin/vitamin,redoxon,0,0.07465180666626076,-1.861969,14,14
TERM_29254769,ITEM_228eda9c1fa2,fiesta erkek saat,10 cm ayarlanabilir mobilya kanepe baza koltuk metal destek yükseltici ayağı krom ayakları,banyo yapı & hırdavat/hırdavat/mobilya ayakları,adem koç,0,0.04483274459641942,-2.3365123,20,23
TERM_29254769,ITEM_d3f45d3139ea,fiesta erkek saat,bisiklet yaka slim fit saç örgü desenli haki erkek kazak f5wm-kzk 2314,giyim/üst giyim/kazak & hırka/kazak,fabrika,0,0.12021295315770872,-2.1337814,12,17
TERM_29254769,ITEM_c9ea11c0df36,fiesta erkek saat,klasik fit uzun kollu düğmeli yaka pamuklu kolay ütü oxford düz erkek gömlek,giyim/tesettür giyim/tesettür bluz & tunik/tesettür tunik,adidas,0,0.058273312430876946,-1.595084,16,12
TERM_29254769,ITEM_f7574cb885fb,fiesta erkek saat,fs601139 çelik kordonlu erkek kol saati,aksesuar/saat,fiesta,1,0.8039341120859077,1.9621896,3,1
TERM_29254769,ITEM_7989ff84af2a,fiesta erkek saat,fs600550 silikon kordonlu erkek kol saati,aksesuar/saat,fiesta,1,0.7986060771770218,1.9621896,7,2
TERM_29254769,ITEM_4a594df73156,fiesta erkek saat,fs600652 çelik kordonlu otomatik erkek kol saati,aksesuar/saat,fiesta,1,0.800340232781529,1.9052161,6,6
TERM_29254769,ITEM_2231924fc99a,fiesta erkek saat,yıldız best frends arkadaşlık sevgili bileklik,aksesuar/takı & mücevher/bileklik/bijuteri bileklik,takıconcept,0,0.03221329672143494,-2.148442,21,18
